Filename?,Date,Time,IndividualID,Breaths,Time,RR,Current,ID0,Prox0,Prior1,ID1,Prior5,ID5,Prior15,ID15,PartyCurrent,PartyPrior15,Posture,Location,Video,Observer,Comments,GPS,TravelTime,TravelDistance,Speed,Climb1Dist,Climb1min
Elton_S1730044,8/11/2023,11:18:55 AM,"Elton,",,,0,"Rest.Alert,",,,"Rest.Alert,",,"Rest,RecGr,","Nelson,","Travel,Display,",,,,"LyingBack,","0.488591,30.430940",1,"Riley,Aaron,",,,,,0,,0
Elton_C0276,8/11/2023,11:35:16 AM,"Elton,",,,0,"Rest.Relax,",,,"Rest.Relax,",,"Rest,",,"RecGr,","Evans,",,,"LyingBack,","0.488713,30.430904",1,"Riley,Aaron,",,,,,0,,0
Elton_S1730051,8/11/2023,12:05:47 PM,"Elton,",,,0,"RecGr,","Shire_2,","Shire_2,Evans,Wilson,Puccini,Khutulun_0,Khutulun_infant,Nelson,",,,"RecGr,","Shire_2,","Rest.Relax,RecGr,","Shire_2,",,,,"0.488717,30.430909",1,"Riley,Aaron,",,,,,0,,0
,8/11/2023,12:15:26 PM,"Elton,",25,60,25,"Rest.Relax,",,"Wilson,Evans,Puccini,Nelson,Khutulun_0,Khutulun_infant,","Rest.Relax,",,"Rest.Relax,",,"RecGr,","Shire_2,",,,"LyingSide,","0.488681,30.430875",1,"Riley,Aaron,",,,,,0,,0
,8/11/2023,12:48:39 PM,"Elton,",,,0,"Rest.Alert,",,,"Display,",,"Rest,",,"Rest.Relax,",,,,"Sit,","0.488731,30.430861",1,"Riley,",,,,,0,,0
,8/12/2023,11:41:47 AM,"EttaJames_0,",,,0,"Rest,",,"Damien,","Rest,",,"Rest,",,,,,,,"0.483513,30.412327",1,"Riley,Aaron,",Others in cordia ,,,,0,,0
,8/12/2023,3:51:14 PM,"EttaJames_0,",12,30,24,"Rest.Relax,",,,"Rest.Relax,",,"Rest,",,,,,,,"0.487500,30.403370",1,"Aaron,",Damien and fricka in 20 m,,,,0,,0
,8/11/2023,9:18:51 AM,"Evans,",,,0,"RecGr,","Elton,","Elton,","RecGr,","Elton,","RecGr,AlloGr,","Elton,",,,,,"LyingBack,","0.488667,30.430881",1,"Riley,",,,,,0,,0
,8/11/2023,9:35:50 AM,"Evans,",,,0,"RecGr,","Elton,",,"RecGr,",,"AlloGr,RecGr,","Elton,","Groom,","Elton,",,,"LyingBack,","0.488639,30.430834",1,"Riley,Aaron,",,,,,0,,0
,8/11/2023,12:26:44 PM,"Evans,",,,0,"RecGr,","Wilson,","Wilson,Elton,","AlloGr,","Wilson,","AlloGr,","Wilson,","Groom,","Wilson,",,,,"0.488722,30.430845",1,"Riley,",,,,,0,,0
,8/11/2023,12:58:10 PM,"Evans,",,,0,"QuadAlert,",,,"Travel,Rest.Alert,",,"Rest,AlloGr,MutlGr,","Wilson,","Rest,",,,,"Quadrupedal,","0.488778,30.430866",1,"Riley,Aaron,",,,1,20,20,,0
,8/12/2023,3:09:46 PM,"Fricka_2,",,,0,"Rest,",,,"Rest,",,"Rest,Travel,",,,,,,"LyingBack,","0.487357,30.404524",1,"Aaron,",,,,,0,,0
,8/12/2023,3:13:35 PM,"Fricka_2,",,,0,"Rest,",,,"Rest,",,"Rest,",,,,,,"LyingBack,","0.487326,30.404562",1,"Aaron,",Touching swollen eye ,,,,0,,0
,8/12/2023,3:30:42 PM,"Fricka_2,",15.5,30,31,"Rest.Relax,",,,"Rest,",,"Rest,",,"Rest,",,,,,"0.487182,30.404536",1,"Aaron,",,,,,0,,0
,8/12/2023,3:39:20 PM,"Fricka_2,",14.5,30,29,"Rest,",,,"Rest,",,"Rest.Relax,",,"Rest,",,,,"LyingBack,","0.487310,30.404487",0,"Aaron,",,,,,0,,0
,8/12/2023,3:46:51 PM,"Fricka_2,",,,0,"Rest,",,,"Travel,",,"Travel,",,"Rest,",,,,"LyingBack,","0.487468,30.403280",1,"Aaron,",,,5,130,26,,0
,8/12/2023,4:11:53 PM,"Fricka_2,",,,0,,,"Sabin_0,Sabin_infant,Damien,Louis,",,,,,,,,,"LyingBack,","0.488356,30.400799",0,"Aaron,",,,,,0,,0
Garrison_7-23-23_1539,7/23/2023,3:40:17 PM,Garrison,,,0,Rest,,,Rest,,Rest,,Rest,,,,,"0.500820,30.421813",0,"Riley,","25 min after IGE with central, resting > 15 after being vigilant and moving 25 m south 20 min ago ",,,,0,,0
Garrison_7-15-23_0925,7/15/2023,9:25:30 AM,"Garrison,",14,70,12,"RecGr,","RichBergl,","RichBergl,","RecGr,","RichBergl,","RecGr,","RichBergl,","Rest.Relax,",,"Buckner,Garrison,Holland,Lucrezia_2,RichBergl,YoYo,","Buckner,Garrison,Holland,Lucrezia_2,RichBergl,YoYo,","Quadrupedal,","0.488364,30.411432",1,"Aaron,Riley,",,,0.1,4,40,,0
Garrison_7-15-23_1315,7/15/2023,1:15:15 PM,"Garrison,",18,60,18,"Rest.Relax,",,"Buckner,",,,"RecGr,","Buckner,","Rest.Relax,","Buckner,",,,"LyingBack,","0.490433,30.411315",0,"Aaron,Riley,",,,,,0,,0
Garrison_7-15-23_1317,7/15/2023,1:17:03 PM,"Garrison,",17,56,18.21428571,"Rest.Relax,",,"Buckner,","Rest.Relax,",,"RecGr,","Buckner,","Rest.Relax,",,,,"LyingBack,","0.490462,30.411228",1,"Aaron,Riley,",,,,,0,,0
Garrison_7-15-23_1322,7/15/2023,1:22:23 PM,"Garrison,",25,90,16.66666667,"Rest.Relax,",,"RichBergl,Buckner,","SelfGr,",,"Rest.Relax,",,"RecGr,","Buckner,",,,"LyingBack,","0.490424,30.411328",1,"Aaron,Riley,",Yawn ,,,,0,,0
Garrison_7-15-23_1326,7/15/2023,1:26:12 PM,"Garrison,",19,60,19,"Rest.Relax,",,"Buckner,RichBergl,","Rest.Relax,",,"Rest.Relax,",,"RecGr,","Buckner,",,,"LyingBack,","0.490404,30.411362",0,"Aaron,Riley,",,,,,0,,0
Garrison_7-15-23_1328,7/15/2023,1:27:54 PM,"Garrison,",24,80,18,"RecGr,","Holland,","Holland,Buckner,RichBergl,","Rest.Relax,",,"Rest.Relax,",,"Rest.Relax,",,,,,"0.490383,30.411348",1,"Aaron,Riley,",,,,,0,,0
Garrison_7-15-23_1331,7/15/2023,1:30:50 PM,"Garrison,",16,60,16,"RecGr,Rest.Relax,","Holland,","Holland,Buckner,RichBergl,","RecGr,",,"Rest.Relax,",,"Rest.Relax,",,,,,"0.490421,30.411376",0,"Aaron,Riley,",Big breath right before 60 seconds ; Holland stopped grooming in first few seconds ,,,,0,,0
Garrison_7-15-23_1332,7/15/2023,1:32:16 PM,"Garrison,",36,120,18,"RecGr,","Holland,","Holland,Buckner,RichBergl,","RecGr,Rest.Relax,",,"Rest.Relax,",,"Rest.Relax,",,,,"LyingBack,","0.490423,30.411347",1,"Aaron,Riley,",,,,,0,,0
Garrison_7-15-23_1334,7/15/2023,1:34:34 PM,"Garrison,",20,60,20,"RecGr,Rest.Relax,",,"Holland,Buckner,RichBergl,","RecGr,","Holland,","RecGr,Rest.Relax,",,"Rest.Relax,",,,,"LyingBack,","0.490430,30.411332",0,"Aaron,Riley,",Holland stoped grooming 20 seconds and then walked over him; garrison moved as of to listen to something at 40 second ,,,,0,,0
Garrison_7-23-23_1550,7/23/2023,3:50:08 PM,"Garrison,",7,30,14,"Rest.Relax,",,"Larson,","Rest.Relax,",,"Rest.Relax,",,"Rest.Relax,",,,,"LyingBack,","0.500733,30.421824",1,"Riley,Aaron,",Post IGE at F.5/2,,,,0,,0
Gus_7-22-23_1102,7/22/2023,11:05:40 AM,"Gus,",,,0,"RecGr,","Powell,","Powell,Jolie_0,Kabacwezi,",,,"MutlGr,","Powell,","Rest,",,"Gus,Powell,Jolie_0,Kabacwezi,","Gus,Powell,Jolie_0,Kabacwezi,",,"0.500909,30.422429",0,"Riley,",,,,,0,,0
Gus_7-22-23_1125,7/22/2023,11:25:45 AM,"Gus,",,,0,"RecGr,","Powell,","Powell,Kabacwezi,",,,"AlloGr,AlloGr,","Powell,Kabacwezi,","AlloGr,","Powell,","Gus,Powell,Jolie_0,Kabacwezi,","Gus,Powell,Jolie_0,Kabacwezi,","Sit,","0.500891,30.422424",1,"Riley,",,,,,0,,0
Gus_7-22-23_1133,7/22/2023,11:33:38 AM,"Gus,",,,0,"RecGr,","Powell,","Powell,","RecGr,","Powell,","RecGr,","Powell,","AlloGr,","Kabacwezi,","Gus,Powell,Jolie_0,Kabacwezi,","Gus,Powell,Jolie_0,Kabacwezi,","LyingBack,","0.500896,30.422419",1,"Riley,",Maybe but bad light ; has just been on log grooming ,,,,0,,0
Gus_7-23-23_1130,7/23/2023,11:30:42 AM,"Gus,",15,30,30,"Rest.Relax,",,,"Travel,",,"Feed,",,"Feed,",,,,,"0.500964,30.422046",1,"Aaron,",Garett in 7m; had been moving on ground for past 5-10 min feeding Mucuso ground ; westerns at h/4 maybe ,,2,30,15,,0
Gus_7-23-23_1136,7/23/2023,11:36:56 AM,"Gus,",,,0,"Rest.Relax,",,,"Rest.Relax,",,"Rest.Relax,",,"Feed,Travel,",,,,"LyingBack,","0.501054,30.422043",1,"Aaron,",,,,,0,,0
Gus_7-23-23_1140,7/23/2023,11:40:45 AM,"Gus,",10,22,27.2727,"Rest.Relax,",,,"Rest.Relax,",,"Rest.Relax,",,,,,,"LyingBack,","0.500991,30.422029",0,"Aaron,",,,,,0,,0
Gus_7-23-23_1144,7/23/2023,11:44:10 AM,"Gus,",9,22,24.5455,"Rest.Relax,",,,"Rest.Relax,",,"Rest.Relax,",,"Rest.Relax,",,,,"LyingBack,","0.501047,30.422058",1,"Aaron,",Stationary over 15 min; rest on ground ,,,,0,,0
